YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
1987,1,565,9814.810538635562,17.371346086080642,10-15,0.33893221355728853,SH
1987,2,398,8406.758496085537,21.122508784134514,15-20,0.23875224955008997,SH
1987,3,519,10383.6533235967,20.007039159145858,20-90.0001,0.3113377324535093,SH
1988,0,187,3653.724842241709,19.53863552000914,0-10,0.11709455228553538,SH
1988,1,457,8013.874437301373,17.535830278558805,10-15,0.28616155291170947,SH
1988,2,592,11814.640172243096,19.957162453113337,15-20,0.3706950532247965,SH
1988,3,361,7700.860193973041,21.33202269798626,20-90.0001,0.22604884157795868,SH
1989,0,234,3798.5476456479732,16.23310959678621,0-10,0.10344827586206896,SH
1989,1,666,10997.51767250186,16.51278929805084,10-15,0.29442970822281167,SH
1989,2,609,12129.077886463932,19.916384050022877,15-20,0.2692307692307692,SH
1989,3,753,16295.642140784828,21.640959018306546,20-90.0001,0.3328912466843501,SH
1990,0,258,4467.227539814707,17.3148354256384,0-10,0.1360759493670886,SH
1990,1,676,11778.022137078291,17.423109670234158,10-15,0.35654008438818563,SH
1990,2,558,11017.311304187664,19.74428549137574,15-20,0.29430379746835444,SH
1990,3,404,8212.741854766875,20.32856894744276,20-90.0001,0.21308016877637131,SH
1991,0,346,5527.981360292937,15.976824740731033,0-10,0.18917441224712958,SH
1991,1,610,10524.20343851182,17.252792522150525,10-15,0.33351558228540185,SH
1991,2,539,10866.310517909698,20.160130831001297,15-20,0.2946965554948059,SH
1991,3,334,6439.626901729743,19.28032006505911,20-90.0001,0.18261344997266266,SH
1992,0,219,3456.341835318567,15.782382809673821,0-10,0.1145397489539749,SH
1992,1,731,13355.308881214003,18.269916390169634,10-15,0.38232217573221755,SH
1992,2,459,8768.212893117077,19.102860333588403,15-20,0.24006276150627615,SH
1992,3,503,10838.019520953194,21.546758490960624,20-90.0001,0.2630753138075314,SH
1993,0,179,2969.7215133649834,16.590622979692643,0-10,0.09916897506925208,SH
1993,1,550,9907.464751519681,18.01357227549033,10-15,0.3047091412742382,SH
1993,2,536,10515.831767693084,19.61908911883038,15-20,0.2969529085872576,SH
1993,3,540,11579.295031659462,21.44313894751752,20-90.0001,0.29916897506925205,SH
1994,0,229,3428.6815035903846,14.972408312621766,0-10,0.0966652596032081,SH
1994,1,838,13505.928854207777,16.116860207885175,10-15,0.35373575348248204,SH
1994,2,693,12525.797256049496,18.074743515222938,15-20,0.29252849303503586,SH
1994,3,609,12502.556257221935,20.529649026637003,20-90.0001,0.25707049387927394,SH
1995,0,98,1659.5237621578906,16.93391594038664,0-10,0.062420382165605096,SH
1995,1,668,10936.89350462421,16.37259506680271,10-15,0.42547770700636944,SH
1995,2,446,8416.679438258332,18.871478561117335,15-20,0.2840764331210191,SH
1995,3,358,7097.029144220585,19.824103754806103,20-90.0001,0.22802547770700637,SH
1996,0,414,6608.828594634773,15.963354093320708,0-10,0.16761133603238867,SH
1996,1,954,16542.271370284194,17.339907096733956,10-15,0.3862348178137652,SH
1996,2,691,13753.672624600726,19.904012481332455,15-20,0.27975708502024293,SH
1996,3,411,8335.436433270585,20.280867234235,20-90.0001,0.16639676113360324,SH
1997,0,312,4953.206149927783,15.875660736948024,0-10,0.11202872531418312,SH
1997,1,925,15922.246588919845,17.21323955558902,10-15,0.33213644524236985,SH
1997,2,876,17519.724591579976,19.999685606826457,15-20,0.31454219030520647,SH
1997,3,672,13715.730244021262,20.41031286312688,20-90.0001,0.24129263913824056,SH
1998,0,135,2219.5672294402452,16.44123873659441,0-10,0.05826499784203712,SH
1998,1,859,14992.161334246875,17.453039970019645,10-15,0.37073802330599914,SH
1998,2,761,15277.827745089002,20.075989152547965,15-20,0.3284419507984463,SH
1998,3,562,11203.769193324677,19.93553237246384,20-90.0001,0.24255502805351747,SH
1999,0,48,817.9242895413721,17.04008936544525,0-10,0.028053769725306838,SH
1999,1,536,9417.26560098251,17.56952537496737,10-15,0.31326709526592633,SH
1999,2,522,10399.339327445856,19.922105991275586,15-20,0.3050847457627119,SH
1999,3,605,12676.800756534296,20.953389680221978,20-90.0001,0.35359438924605496,SH
2000,0,58,1080.610995293975,18.631224056792675,0-10,0.027978774722624215,SH
2000,1,582,10120.356527744449,17.38892874182895,10-15,0.28075253256150506,SH
2000,2,811,15335.999987960959,18.909987654699087,15-20,0.39122045344910755,SH
2000,3,622,12279.269892593551,19.741591467192205,20-90.0001,0.30004823926676316,SH
2001,0,236,3967.194367280666,16.810145624070618,0-10,0.1354764638346728,SH
2001,1,519,9563.768892345135,18.427300370607195,10-15,0.29793340987370837,SH
2001,2,477,10202.347175588873,21.38856850228275,15-20,0.2738231917336395,SH
2001,3,510,10408.705550910217,20.40922657041219,20-90.0001,0.2927669345579793,SH
2002,0,360,6381.914857984237,17.727541272178435,0-10,0.21015761821366025,SH
2002,1,512,9440.797104698351,18.439056845113967,10-15,0.29889083479276124,SH
