YEAR,BAND,N_EVENTS,INTENSITY_SUM_MM_3H,MEAN_INTENSITY_MM_3H,BAND_LABEL,RELATIVE_FREQUENCY,HEMISPHERE
1995,0,1478,23739.8353566711,16.062134882727403,0-15,0.34284388772906516,NH
1995,1,1830,34908.24945153354,19.075546148378983,15-25,0.4244954766875435,NH
1995,2,623,13196.415801801695,21.18204783595778,25-35,0.14451403386685224,NH
1995,3,380,6434.760943112946,16.933581429244594,35-90.0001,0.08814660171653908,NH
1996,0,1653,25934.994102091554,15.689651604411104,0-15,0.32680901542111507,NH
1996,1,2207,42793.33953108621,19.3898230770667,15-25,0.43633847370502177,NH
1996,2,794,17317.73403276461,21.810748152096483,25-35,0.15697904310003954,NH
1996,3,404,6493.187070025425,16.07224522283521,35-90.0001,0.07987346777382365,NH
1997,0,2132,34739.89557522885,16.294510119713344,0-15,0.4524617996604414,NH
1997,1,1618,32933.59953695429,20.354511456708458,15-25,0.3433786078098472,NH
1997,2,642,14935.375788138228,23.26382521516858,25-35,0.13624787775891342,NH
1997,3,320,5473.914934761591,17.105984171129972,35-90.0001,0.06791171477079797,NH
1998,0,1046,19118.533032793373,18.277756245500356,0-15,0.31270553064275036,NH
1998,1,1448,29426.666184498703,20.322283276587502,15-25,0.4328849028400598,NH
1998,2,571,13211.497257861889,23.137473306237982,25-35,0.17070254110612856,NH
1998,3,280,4251.943999740081,15.185514284786004,35-90.0001,0.08370702541106129,NH
1999,0,898,16065.942456583707,17.890804517353793,0-15,0.27966365618187483,NH
1999,1,1447,29512.81822945326,20.395866088081036,15-25,0.45063843039551543,NH
1999,2,633,14041.534316980671,22.18251866821591,25-35,0.1971348489567113,NH
1999,3,233,4499.554005039009,19.311390579566563,35-90.0001,0.07256306446589847,NH
2000,0,1050,20342.858362809413,19.37415082172325,0-15,0.2886994775914215,NH
2000,1,1550,32415.63025534298,20.913309842156764,15-25,0.4261754193016222,NH
2000,2,685,14569.846705634403,21.269849205305697,25-35,0.18834204014297498,NH
2000,3,352,5835.902870486545,16.579269518427683,35-90.0001,0.0967830629639813,NH
2001,0,980,17736.196405864335,18.09815959782075,0-15,0.26358257127487894,NH
2001,1,1591,34865.28378094747,21.914069001224057,15-25,0.4279182356105433,NH
2001,2,804,17457.51798692807,21.713330829512525,25-35,0.2162452931683701,NH
2001,3,343,5975.846075669915,17.4222917658015,35-90.0001,0.09225389994620764,NH
2002,0,1258,24575.443106953742,19.535328383905995,0-15,0.35159306875349355,NH
2002,1,1334,26375.164662729836,19.771487753170792,15-25,0.3728339854667412,NH
2002,2,737,16260.702206560654,22.063367987192205,25-35,0.20598099496925656,NH
2002,3,249,3676.316109148829,14.764321723489273,35-90.0001,0.06959195081050866,NH
2003,0,1258,23140.63103230518,18.39477824507566,0-15,0.3299239444007343,NH
2003,1,1665,36220.99435474235,21.75435096380922,15-25,0.4366640440597954,NH
2003,2,673,14043.77036968255,20.867415110969613,25-35,0.1765014424337792,NH
2003,3,217,3435.4997635798327,15.831796145529182,35-90.0001,0.056910569105691054,NH
2004,0,1408,24255.08302800487,17.226621468753457,0-15,0.32981962988990393,NH
