year,hemisphere,surface,total,reference,redistribution,within_band,interaction
1998,NH,ocean,19.030514335521943,19.318974023855269,0.021461017921756753,-0.33149187002613201,0.021571163771050977
1999,NH,ocean,19.641835651408513,19.318974023855269,0.44380451160960155,-0.031531247345035096,-0.089411636711321199
2000,NH,ocean,20.081292944666863,19.318974023855269,0.098161929126890896,0.7201743245790212,-0.056017332894316527
2001,NH,ocean,19.943872713957724,19.318974023855269,0.059733252304276674,0.50314247664532441,0.062022961152853676
2002,NH,ocean,19.098359784666712,19.318974023855269,-0.17856259252178208,-0.16474021165862338,0.12268856499185198
2003,NH,ocean,19.848206318903394,19.318974023855269,0.0075647025179697014,0.53153719869560079,-0.0098696061654467288
2004,NH,ocean,19.928763564650119,19.318974023855269,0.03355594183844518,0.59330572518397728,-0.01707212622757243
2005,NH,ocean,19.59033782217988,19.318974023855269,0.12649002756156258,0.24350272314057012,-0.098628952377520798
2006,NH,ocean,20.079496505217183,19.318974023855269,-0.045406034056379101,0.83144878380739862,-0.025520268389104116
2007,NH,ocean,20.3978799782818,19.318974023855269,0.1506242829078358,0.88100819957691379,0.047273471941782622
2008,NH,ocean,20.669959558923704,19.318974023855269,0.014707786962006645,1.3396626910294365,-0.00338494292301283
2009,NH,ocean,21.115640694135877,19.318974023855269,-0.1359045341250083,1.8693395239621802,0.063231680443436786
2010,NH,ocean,19.124623559104393,19.318974023855269,0.093739594778549762,-0.27085433462282038,-0.017235724906604757
2011,NH,ocean,19.98537047721091,19.318974023855269,0.08857276733558106,0.64772880292039836,-0.069905116900336878
2012,NH,ocean,19.415651608640513,19.318974023855269,0.31818954934297689,-0.11091368077372796,-0.11059828378400301
2013,NH,ocean,19.648442729998475,19.318974023855269,-0.03662369788923403,0.33705823525258788,0.029034168779853542
2014,NH,ocean,19.983648962324651,19.318974023855269,-0.10725669343504918,0.73825450420486427,0.03367712769956558
2015,NH,ocean,19.359697905786533,19.318974023855269,-0.11499990662260612,0.13125873490073453,0.02446505365313404
2016,NH,ocean,19.016029940297145,19.318974023855269,0.18987317126356418,-0.48508935407246356,-0.0077279007492237622
2017,NH,ocean,19.218369431237893,19.318974023855269,0.16968961837103413,-0.27254601920938964,0.0022518082209808492
2018,NH,ocean,19.158954424483515,19.318974023855269,-0.01864799843502396,-0.15751077129265872,0.016139170355928129
