record_type,domain,year,mean_lat,n_records,fit,fit_lower,fit_upper,trend_per_decade,p_value
track,SH,2011,19.809062885326757,1622,17.810976742833475,17.36247213045466,18.17386810182752,0.09168628228467018,0.28823680135136065
track,SH,2012,19.24064359113034,1849,17.82014537106194,17.370745135437577,18.194201004115737,0.09168628228467018,0.28823680135136065
track,SH,2013,17.335436619718312,1775,17.829313999290406,17.371987737530954,18.2202534599416,0.09168628228467018,0.28823680135136065
track,SH,2014,19.411285946825828,1843,17.83848262751888,17.37002934168902,18.248374490172377,0.09168628228467018,0.28823680135136065
track,SH,2015,18.94584980237154,1771,17.847651255747344,17.357118184027918,18.272434549861313,0.09168628228467018,0.28823680135136065
track,SH,2016,18.408877388535032,1256,17.85681988397581,17.356378537063172,18.304955145287067,0.09168628228467018,0.28823680135136065
track,SH,2017,18.312959112959113,1443,17.865988512204275,17.347245364207826,18.335031942444523,0.09168628228467018,0.28823680135136065
track,SH,2018,18.035891325071496,2098,17.87515714043274,17.336978679234896,18.359695558836822,0.09168628228467018,0.28823680135136065
track,SH,2019,16.272122389509473,2059,17.884325768661213,17.3270785475703,18.383567493934432,0.09168628228467018,0.28823680135136065
track,SH,2020,18.026894736842106,1900,17.89349439688968,17.316897396267784,18.410137798355414,0.09168628228467018,0.28823680135136065
track,SH,2021,17.12364303178484,2045,17.902663025118144,17.300269359558907,18.435245332962236,0.09168628228467018,0.28823680135136065
track,SH,2022,18.802012578616353,2385,17.91183165334661,17.284067132737974,18.4634998305942,0.09168628228467018,0.28823680135136065
track,SH,2023,17.652563329312425,1658,17.921000281575083,17.269923959687283,18.49528772087272,0.09168628228467018,0.28823680135136065
event,NH,1980,19.291606903076172,3450,18.978259750387878,18.082999158640114,19.470385353989982,0.5631959167393772,9.069709927751747e-05
event,NH,1981,21.08329963684082,3533,19.034579342061818,18.149685672964903,19.50090442347933,0.5631959167393772,9.069709927751747e-05
event,NH,1982,18.758026123046875,3769,19.090898933735758,18.22518139488936,19.538371426196193,0.5631959167393772,9.069709927751747e-05
event,NH,1983,16.37933349609375,3150,19.1472185254097,18.287781908359204,19.59648986597801,0.5631959167393772,9.069709927751747e-05
event,NH,1984,19.773014068603516,3978,19.20353811708364,18.3598190799658,19.640529722710088,0.5631959167393772,9.069709927751747e-05
event,NH,1985,19.759292602539062,4482,19.259857708757565,18.436337046943567,19.685986292999548,0.5631959167393772,9.069709927751747e-05
event,NH,1986,17.693851470947266,4131,19.316177300431505,18.51272372854505,19.736607601708815,0.5631959167393772,9.069709927751747e-05
event,NH,1987,18.423011779785156,3796,19.372496892105445,18.580931025096003,19.78378394780779,0.5631959167393772,9.069709927751747e-05
event,NH,1988,19.840057373046875,3440,19.428816483779386,18.649521902643784,19.83819870515302,0.5631959167393772,9.069709927751747e-05
event,NH,1989,19.99535369873047,4240,19.485136075453326,18.722931385315704,19.88642637485821,0.5631959167393772,9.069709927751747e-05
event,NH,1990,18.652198791503906,5027,19.541455667127266,18.794030591798876,19.93637955044741,0.5631959167393772,9.069709927751747e-05
event,NH,1991,18.53324317932129,4037,19.597775258801192,18.861309093427142,19.996506767045442,0.5631959167393772,9.069709927751747e-05
event,NH,1992,18.501644134521484,5296,19.654094850475133,18.92651205022758,20.049551991959206,0.5631959167393772,9.069709927751747e-05
event,NH,1993,17.00422477722168,4072,19.710414442149073,18.992210798673135,20.1020957153084,0.5631959167393772,9.069709927751747e-05
event,NH,1994,19.058242797851562,4943,19.766734033823013,19.054146408994637,20.153107765272132,0.5631959167393772,9.069709927751747e-05
event,NH,1995,19.77669906616211,4311,19.823053625496954,19.11456238952549,20.205679263434366,0.5631959167393772,9.069709927751747e-05
event,NH,1996,19.969297409057617,5058,19.87937321717088,19.170881981199443,20.259264352374593,0.5631959167393772,9.069709927751747e-05
event,NH,1997,18.197782516479492,4712,19.93569280884482,19.23804723292748,20.312748828082228,0.5631959167393772,9.069709927751747e-05
event,NH,1998,20.573930740356445,3345,19.99201240051876,19.298519359788592,20.367852287202272,0.5631959167393772,9.069709927751747e-05
event,NH,1999,20.734350204467773,3211,20.0483319921927,19.357690084653466,20.42214998992131,0.5631959167393772,9.069709927751747e-05
event,NH,2000,21.03045082092285,3637,20.10465158386664,19.426513589556727,20.476524846060187,0.5631959167393772,9.069709927751747e-05
event,NH,2001,21.19920539855957,3718,20.16097117554058,19.48618634454374,20.533133099943598,0.5631959167393772,9.069709927751747e-05
event,NH,2002,20.218570709228516,3578,20.217290767214507,19.54378302289358,20.594334382360632,0.5631959167393772,9.069709927751747e-05
event,NH,2003,19.50506019592285,3813,20.273610358888448,19.593814158204818,20.652408141360862,0.5631959167393772,9.069709927751747e-05
event,NH,2004,20.86379623413086,4269,20.329929950562388,19.642921069692044,20.713224167429974,0.5631959167393772,9.069709927751747e-05
event,NH,2005,21.850919723510742,4401,20.386249542236328,19.69664658330885,20.77802426502818,0.5631959167393772,9.069709927751747e-05
event,NH,2006,19.96832847595215,3754,20.44256913391027,19.754892137443875,20.838491692569804,0.5631959167393772,9.069709927751747e-05
event,NH,2007,21.031381607055664,3016,20.498888725584195,19.81303960828364,20.89884027685886,0.5631959167393772,9.069709927751747e-05
event,NH,2008,20.55392837524414,3475,20.555208317258135,19.856858964058667,20.95998967754192,0.5631959167393772,9.069709927751747e-05
event,NH,2009,19.242063522338867,3641,20.611527908932075,19.90303667296064,21.01624239482372,0.5631959167393772,9.069709927751747e-05
event,NH,2010,20.710472106933594,2917,20.667847500606015,19.959356264634565,21.077229721979663,0.5631959167393772,9.069709927751747e-05
event,NH,2011,21.176742553710938,3517,20.724167092279956,20.015675856308505,21.133549313653603,0.5631959167393772,9.069709927751747e-05
event,NH,2012,21.29414939880371,3795,20.780486683953896,20.071995447982445,21.192252356374304,0.5631959167393772,9.069709927751747e-05
event,NH,2013,18.8458251953125,3736,20.836806275627822,20.12831503965637,21.2597332978198,0.5631959167393772,9.069709927751747e-05
event,NH,2014,19.278621673583984,3700,20.893125867301762,20.18463463133031,21.325547070198084,0.5631959167393772,9.069709927751747e-05
event,NH,2015,19.0966796875,4924,20.949445458975703,20.240954223004252,21.39128615875279,0.5631959167393772,9.069709927751747e-05
