domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high,n_events
NA,NH,2,25-35,-0.32200237993870429,-0.63789955168204904,0.49231911592541799,0.015770917268061201,-0.041862835932971798,0.3269513538083913,0.077905418131098997,-0.10794138821726609,0.1477081700543075,-0.228326044539544,-0.4795296091210049,0.62125424103136839,11429
NA,NH,3,35-90,0.1327412653672512,-0.1393976465734032,0.43578837059485492,-0.023534868817755902,-0.089848981854563206,0.047635155816119101,0.0052281689552883997,-0.078535021815947501,0.0625895583825581,0.1144345655047838,-0.18197672270781889,0.43770259965537378,6654
NI,NH,0,0-15,-0.032533789467878702,-0.45330401805228021,0.72955378496465251,0.16531058267590271,0.022087882764022002,0.33989128823105869,-0.0542325649042611,-0.209539651990128,0.098109373707712694,0.0785442283037628,-0.3286475609001081,0.92446870052758157,6766
NI,NH,1,15-25,0.1724710869044816,-0.91694907378583435,0.63895809891283228,0.3106826837946271,0.22205572306585761,0.64268900955756958,0.1191002082970236,-0.2088311166486079,0.19130476840925709,0.60225397899613242,-0.62112184115165514,1.1211268224963264,6172
NI,NH,2,25-35,0,-0.077573900853477096,0.043356867875020903,-0.0166922774838839,-0.0228348548320336,0.024456700351200102,0.0166922774838839,-0.022218561897916201,0.0227880021170217,0,-0.072599186174398103,0.035636467522604701,320
NI,NH,3,35-90,,,,,,,,,,,,,0
SI,SH,0,0-10,-0.076898594387555794,-0.26121983082341099,0.1617676725512944,0.034615521250614997,-0.0142781732129761,0.1259589245668821,0.0018339359112074999,-0.049255223857469201,0.032210418782681702,-0.040449137225733199,-0.2331085570628138,0.225026936205973,6207
SI,SH,1,10-15,-0.1980338413625497,-0.46486304182310662,-0.11539751831795821,0.1857334113244708,0.089277635917547102,0.35944682012759288,0.0256664336182095,-0.064884802559039806,0.056913859320989697,0.013366003580130599,-0.2887928560540256,0.1577103351469408,18448
SI,SH,2,15-20,0.1219098506481792,-0.11318496194659999,0.382674885767393,0.1569533183752273,-0.0080665990918949992,0.25012592803297412,-0.031274084948400498,-0.068138290010123503,0.049220597131698497,0.2475890840750061,-0.016031426977350501,0.51962196578075392,16115
SI,SH,3,20-90,0.28204848398036159,-0.040238505521650002,0.49981059700876729,0.010176494906061,-0.048489828887377302,0.065353053694583801,-0.0218478909765236,-0.036767108186864503,0.041143134313082599,0.27037708790989901,-0.0327718663412686,0.51218123818151873,13168
SP,SH,0,0-10,0,-0.12908602621091739,0.197821054044101,-0.011020760012002501,-0.054266720599017201,0.0044185136963721004,0.00081214958251630003,-0.023711038104212101,0.045346858370938402,-0.0102086104294862,-0.1378562293465361,0.19339009506428759,1599
SP,SH,1,10-15,-0.34017849668516981,-0.73856353660084795,0.097130357088816593,0.089028991489248505,0.0171629535840301,0.30463078972922358,-0.078792309270371605,-0.1205278443275651,0.082216461857787998,-0.329941814466293,-0.60111598940378297,0.27865382496180929,8493
SP,SH,2,15-20,0.17683235246342999,-0.3286533097864443,0.54093775451496695,0.059911307090322198,-0.074865648427500806,0.20052626594487241,0.037091918038450002,-0.062596858921209905,0.094195664585727895,0.27383557759220228,-0.22847412148843141,0.60442124610213543,8911
SP,SH,3,20-90,0.1723740644814567,-0.2322574047355454,0.5966830124587531,-0.069706693678276893,-0.16246116179418091,0.064319269248837199,-0.020678082497238098,-0.078558967021478396,0.11519349560105629,0.081989288305941599,-0.3041926953998545,0.5701035033363131,8756
