lat,lon,trend,p_value,valid_years
-40.5,198.5,0.7127134266077562,0.26035056965599135,16
-40.5,199.5,0.2128393389519549,0.8266659696701553,14
-40.5,200.5,0.39349086655716603,0.4362749288405292,11
-40.5,201.5,0.77982906687175,0.11475673431864909,12
-40.5,202.5,0.07927389718485604,0.9513521309544037,13
-40.5,203.5,0.05645671634284899,1.0,10
-39.5,45.5,-0.2866525735202015,1.0,11
-39.5,46.5,0.29673534312982774,0.6921807727218765,15
-39.5,47.5,-0.2586536021310732,0.35020138917929566,11
-39.5,48.5,-0.04822754155119174,1.0,11
-39.5,49.5,-0.058110772720491075,0.8547770980655479,13
-39.5,50.5,0.47643491491147805,0.4506702853141802,12
-39.5,51.5,-0.3593386404936874,0.4277105102974643,13
-39.5,52.5,-0.28497569907424847,0.7526419827681854,16
-39.5,53.5,-0.5291861883043301,0.5583509093759852,16
-39.5,54.5,-0.7015014873470765,0.0748246071030847,15
-39.5,55.5,-0.4632786195286194,0.28888280402716393,18
-39.5,56.5,-0.5968156645569622,0.22547929744791595,18
-39.5,57.5,-0.0027676308703569064,0.9671423309063722,17
-39.5,58.5,0.467276865240297,0.2735614117247491,14
-39.5,59.5,0.16368312757201592,0.9211586502250249,15
-39.5,60.5,1.310545481075272,0.11475673431864909,12
-39.5,61.5,0.49491003787878746,0.4506702853141802,12
-39.5,62.5,-0.3385594346022338,0.9453298708327,12
-39.5,63.5,0.0920608108108105,0.9016495048953725,17
-39.5,64.5,0.4361831634388541,0.3467641835161842,20
-39.5,65.5,0.6557158119658111,0.06887334136057353,19
-39.5,66.5,0.8253405615790949,0.02802711344465016,18
-39.5,67.5,-0.04017857142857041,0.6921807727218765,15
-39.5,68.5,0.030618206941839782,0.9513521309544037,13
-39.5,69.5,0.42827402105972684,0.0995087321591697,13
-39.5,70.5,0.4272880835380833,0.42848041949799653,15
-39.5,71.5,-0.6361281339673984,0.7425568219265776,14
-39.5,72.5,-1.8626585152603026,0.2001281176786024,13
-39.5,73.5,-0.18954613011656107,0.9513521309544037,13
-39.5,74.5,0.35849311369160164,0.6921807727218765,15
-39.5,75.5,-1.7971519935796727,0.11475673431864909,12
-39.5,76.5,0.10869565217391304,0.701134269310392,14
-39.5,78.5,-0.045472136222909944,1.0,10
-39.5,79.5,0.07516470797720773,0.9453298708327,12
-39.5,80.5,0.7215650895482639,0.27575784782750934,11
-39.5,81.5,1.663367390378884,0.03182312738649017,10
-39.5,85.5,0.625,0.11722671962162347,11
-39.5,86.5,0.23134017758046607,0.2104977000553373,10
-39.5,167.5,0.23229010125027455,0.8580276569875211,10
-39.5,168.5,1.1635821660663759,0.2001281176786024,13
-39.5,169.5,0.8472554858318195,0.3036732148994191,12
-39.5,170.5,0.28717973193595964,0.7205147871362552,10
-39.5,171.5,0.5443469313432521,0.2437222847721744,12
-39.5,172.5,0.7422099907501498,0.058587575310488894,13
-39.5,173.5,0.8709989749564295,0.16055589143580895,13
-39.5,174.5,-0.8295899061027125,0.1373470969847837,16
-39.5,175.5,-1.0765438988095255,0.21291190281150452,11
-39.5,176.5,-0.362037037037038,0.42848041949799653,15
-39.5,177.5,-0.31986512385308635,0.7108359248149255,17
-39.5,178.5,-0.970099537037038,0.052871592614987556,16
-39.5,179.5,-0.181064200170017,0.38107448160929436,14
-39.5,180.5,0.17854042936449735,0.5371338571769023,12
-39.5,181.5,0.899491910393224,0.03273560958832075,13
-39.5,182.5,0.06367975117975111,1.0,14
-39.5,183.5,-0.21845920553698306,0.5583509093759852,16
-39.5,184.5,-0.17073150648837404,0.9396136982356221,18
-39.5,185.5,-0.38260968772839715,0.5583509093759852,16
-39.5,186.5,-0.2882667824074072,0.4742743507673295,10
-39.5,187.5,-0.47499999999999987,0.5915050369949166,10
-39.5,188.5,-1.219259674513876,0.28313087066234666,10
-39.5,190.5,-0.5069444444444448,0.7833643646826537,12
-39.5,191.5,-0.7844716612244005,0.5371338571769023,12
-39.5,192.5,-2.5921330612598066,0.00030248470859562353,14
-39.5,193.5,-0.3162100256943121,0.37305311625145265,15
-39.5,194.5,-0.600228174603175,0.16280544974369293,16
-39.5,195.5,0.09278405740244612,0.8925584658515614,16
-39.5,196.5,0.5401462826887873,0.5371338571769023,12
-39.5,197.5,0.4932027048878859,0.4434214028640827,14
-39.5,198.5,0.09093584986442116,0.9453298708327,12
-39.5,200.5,0.41935063867112554,0.5915050369949166,10
-39.5,201.5,-1.4575886574725594,0.4742743507673295,10
-39.5,202.5,-0.40434886130385217,0.8370114751054462,12
-39.5,203.5,0.7291666666666673,1.0,11
-39.5,204.5,0.3768807870370372,0.5371338571769023,12
-39.5,205.5,0.5787523342670402,0.4362749288405292,11
-38.5,43.5,1.1049835997069595,0.3036732148994191,12
-38.5,44.5,0.879376189089644,0.8547770980655479,13
-38.5,45.5,-0.168852864960094,0.9211586502250249,15
-38.5,46.5,0.2196947674418599,0.9128140271840749,14
-38.5,47.5,0.7622733838630422,0.38107448160929436,14
-38.5,48.5,-0.12215196488294316,0.9453298708327,12
-38.5,49.5,-0.5380377850290072,0.22843980898867533,14
-38.5,50.5,-0.5433558558558552,0.3244236905215787,14
-38.5,51.5,-0.17992216117216037,0.5583509093759852,16
-38.5,52.5,-0.4652065858962406,0.42848041949799653,15
-38.5,53.5,-1.1552407631061017,0.37305311625145265,15
-38.5,54.5,0.021950263589596182,0.9640893612679119,16
-38.5,55.5,-0.08529755360088043,0.9442166279919116,19
-38.5,56.5,0.5707100043946773,0.7526419827681854,16
-38.5,57.5,-0.4043898809523827,0.4953662988030888,18
-38.5,58.5,0.5667892156862742,0.32229959587191925,15
-38.5,59.5,-0.020372778002376836,1.0,14
-38.5,60.5,0.35565096170821575,0.4440436396628866,16
-38.5,61.5,-0.536077606011622,0.4434214028640827,14
-38.5,62.5,0.6164034640855836,0.32229959587191925,15
-38.5,63.5,0.006339962121212083,0.975910003234818,21
-38.5,64.5,0.004714614089613846,1.0,23
-38.5,65.5,0.2983618339131754,0.6077081401081054,21
-38.5,66.5,0.43311403508771973,0.22547929744791595,18
-38.5,67.5,-0.3432152157738093,0.2996654484343021,13
-38.5,68.5,0.061020728989478606,0.9513521309544037,13
-38.5,69.5,-0.34482230392156865,0.5829505577618919,13
-38.5,70.5,0.25658729735945773,0.4277105102974643,13
-38.5,71.5,-0.19409824046920823,0.6921807727218765,15
-38.5,72.5,0.6568179503698345,0.38103238548434304,20
-38.5,73.5,0.05567463787379867,1.0,16
-38.5,74.5,0.4332273449920505,0.6206907170753546,15
