band_idx,TCEP_INTENSITY_MM_3H,band_label
2,22.02690972222222,15-20
2,30.00390625,15-20
2,32.207142857142856,15-20
2,40.45601851851852,15-20
2,13.930555555555555,15-20
2,15.2275,15-20
2,14.999273255813954,15-20
2,17.133522727272727,15-20
2,19.28291420118343,15-20
2,24.542410714285715,15-20
2,15.890881147540984,15-20
2,17.19235436893204,15-20
2,17.470027247956402,15-20
2,22.45167525773196,15-20
2,21.435321715817693,15-20
2,17.27906976744186,15-20
2,17.780012376237625,15-20
2,18.013642131979694,15-20
2,17.170223577235774,15-20
2,19.619964454976305,15-20
2,24.919306506849313,15-20
2,28.295162671232877,15-20
2,20.370949074074073,15-20
2,15.5375,15-20
2,13.19375,15-20
2,11.105263157894736,15-20
2,13.858333333333333,15-20
2,9.3125,15-20
2,12.205357142857142,15-20
2,13.04978813559322,15-20
2,12.885416666666666,15-20
2,12.162109375,15-20
2,17.176136363636363,15-20
2,16.75,15-20
2,10.5,15-20
2,12.0,15-20
3,20.595833333333335,20-90
3,43.21127717391305,20-90
3,32.76222067039106,20-90
3,21.198630136986303,20-90
3,15.5375,20-90
3,26.94256756756757,20-90
3,19.620833333333334,20-90
3,24.587278106508876,20-90
3,29.039668949771688,20-90
3,31.22824074074074,20-90
3,17.5,20-90
3,18.65033783783784,20-90
3,19.723557692307693,20-90
3,16.138157894736842,20-90
1,16.1171875,10-15
1,16.494791666666668,10-15
1,28.379032258064516,10-15
1,27.9175,10-15
1,33.261837121212125,10-15
1,31.644176136363637,10-15
1,16.88668699186992,10-15
1,20.253251445086704,10-15
2,20.315217391304348,15-20
2,20.910400390625,15-20
2,22.142934782608695,15-20
2,22.33388157894737,15-20
2,28.234130859375,15-20
2,17.508928571428573,15-20
2,22.529667721518987,15-20
2,22.253886010362695,15-20
2,29.215625,15-20
2,20.229391891891893,15-20
2,17.61867088607595,15-20
2,15.026654411764707,15-20
2,17.56336009174312,15-20
2,17.334116541353385,15-20
2,22.645404411764705,15-20
2,18.693638392857142,15-20
2,23.848126535626534,15-20
3,22.05142819706499,20-90
3,19.433572088724585,20-90
3,19.82454128440367,20-90
3,22.942874692874692,20-90
3,22.895089285714285,20-90
3,21.50360576923077,20-90
3,18.826236263736263,20-90
3,15.955163043478262,20-90
3,44.164855072463766,20-90
3,18.239795918367346,20-90
3,19.308333333333334,20-90
3,27.619318181818183,20-90
3,51.98598130841121,20-90
3,39.85276845637584,20-90
3,32.863839285714285,20-90
3,34.998958333333334,20-90
3,38.9878,20-90
3,29.71424278846154,20-90
3,27.5625,20-90
3,19.34950657894737,20-90
3,19.627205882352943,20-90
2,20.518421052631577,15-20
2,21.49173553719008,15-20
2,27.8737146529563,15-20
2,24.267872616984402,15-20
2,29.038645833333334,15-20
2,28.797652916073968,15-20
2,20.324666030534353,15-20
2,19.51273148148148,15-20
2,20.022267964071855,15-20
2,18.520522388059703,15-20
2,19.03080357142857,15-20
2,22.36911231884058,15-20
2,20.503728070175438,15-20
2,25.328653081510936,15-20
2,23.052329881656803,15-20
2,18.237576452599388,15-20
2,22.07082528957529,15-20
2,25.400110619469025,15-20
2,22.658686440677965,15-20
2,27.768871191135734,15-20
2,23.581796116504854,15-20
2,24.54477848101266,15-20
2,18.978483606557376,15-20
2,19.2467362924282,15-20
2,20.7546875,15-20
2,21.486140167364017,15-20
2,24.776055408970976,15-20
2,26.07229907773386,15-20
2,28.952450980392157,15-20
3,31.413690476190474,20-90
3,29.877257604562736,20-90
3,31.22597742290749,20-90
3,29.255417335473517,20-90
3,33.77662655971479,20-90
3,30.311863327674025,20-90
3,29.915641191709845,20-90
3,27.987068965517242,20-90
3,28.459642379679146,20-90
3,22.356193438914026,20-90
3,23.5933698296837,20-90
3,24.660581683168317,20-90
3,20.426212686567165,20-90
3,18.18419395465995,20-90
3,17.55026690391459,20-90
3,12.215909090909092,20-90
3,13.341581632653062,20-90
3,17.62065319548872,20-90
3,13.724104361370717,20-90
3,12.242694805194805,20-90
3,15.783227848101266,20-90
3,19.600678733031675,20-90
0,23.190389950678174,0-10
0,24.484866091190792,0-10
0,20.69904313487242,0-10
0,21.2639781896117,0-10
0,20.087803292894282,0-10
0,16.58365102639296,0-10
1,13.42902977412731,10-15
1,21.073549723756905,10-15
1,19.20134052924791,10-15
1,20.033793845135673,10-15
1,18.199979597388467,10-15
1,20.02743557065987,10-15
1,18.993124400383753,10-15
1,17.68550695012265,10-15
1,15.360327239003709,10-15
1,17.31063489646772,10-15
1,18.398914905768134,10-15
1,19.468396226415095,10-15
2,19.258337780149414,15-20
2,18.880918560606062,15-20
2,16.097303511705686,15-20
2,14.149356617647058,15-20
2,14.791289592760181,15-20
2,13.001146788990825,15-20
2,18.340110441767067,15-20
2,26.503424657534246,15-20
3,17.40181552587646,20-90
3,18.269161184210525,20-90
3,19.843383584589613,20-90
3,20.04255193578848,20-90
3,17.86767826825127,20-90
3,24.327396373056995,20-90
3,26.31022727272727,20-90
3,31.03137755102041,20-90
3,28.034864568081993,20-90
3,17.56098484848485,20-90
3,16.42361111111111,20-90
3,15.2175,20-90
3,12.898584905660377,20-90
3,13.063368055555555,20-90
3,12.275,20-90
3,15.238175675675675,20-90
3,16.7827868852459,20-90
3,12.2125,20-90
3,12.56875,20-90
3,14.133620689655173,20-90
2,16.277010050251256,15-20
2,19.7169689119171,15-20
2,18.732263513513512,15-20
2,14.431705298013245,15-20
2,13.63527397260274,15-20
2,12.230867346938776,15-20
2,13.229440789473685,15-20
2,14.211826923076924,15-20
2,13.689841205211726,15-20
2,15.449688416422287,15-20
2,39.68127264492754,15-20
2,36.21820335276968,15-20
2,49.06217801946193,15-20
2,25.90058849821216,15-20
2,25.915278575531303,15-20
2,23.208333333333332,15-20
2,27.01043209876543,15-20
2,23.843818008705114,15-20
2,18.418916666666668,15-20
2,38.678368208516886,15-20
2,58.40540426251692,15-20
2,46.39104257302672,15-20
3,37.31917336394948,20-90
3,36.25013596809282,20-90
3,35.323839285714286,20-90
3,32.04763610315186,20-90
3,12.696087786259541,20-90
3,13.886064593301436,20-90
3,15.202702702702704,20-90
3,15.8359375,20-90
3,16.528988486842106,20-90
3,16.821678321678323,20-90
3,15.93157237936772,20-90
3,15.388392857142858,20-90
3,16.12922794117647,20-90
3,16.518926056338028,20-90
3,17.03344298245614,20-90
3,16.242407809110627,20-90
3,16.948934511434512,20-90
3,18.950245098039215,20-90
3,15.914030612244899,20-90
3,14.20353982300885,20-90
3,11.520833333333334,20-90
3,15.60304054054054,20-90
3,13.219827586206897,20-90
3,17.676936619718308,20-90
3,19.10902777777778,20-90
3,15.128571428571428,20-90
3,15.789772727272727,20-90
3,15.985119047619047,20-90
3,14.874621212121212,20-90
3,16.899051966292134,20-90
3,17.092017208413,20-90
3,16.79421342685371,20-90
3,15.138950892857142,20-90
3,18.0046992481203,20-90
3,15.544940476190476,20-90
2,16.126994680851062,15-20
2,19.662122969837586,15-20
2,21.320010729613735,15-20
2,14.771673387096774,15-20
2,14.610096153846154,15-20
3,15.732565789473684,20-90
3,17.66738245931284,20-90
3,23.598579920739763,20-90
3,17.22147770398482,20-90
3,16.37999629903775,20-90
3,15.316352429296591,20-90
3,15.89655172413793,20-90
3,15.346408317580341,20-90
3,14.44578313253012,20-90
3,15.97829861111111,20-90
3,22.815958815958815,20-90
2,14.938924632352942,15-20
2,18.8289686825054,15-20
2,16.644742990654205,15-20
2,15.731892523364486,15-20
2,16.919086402266288,15-20
2,17.678898083623693,15-20
2,20.45267535971223,15-20
3,17.08044058744993,20-90
3,16.399166666666666,20-90
3,17.638422818791945,20-90
3,11.400528169014084,20-90
3,14.347537878787879,20-90
3,17.01358695652174,20-90
3,16.04625,20-90
3,17.894796380090497,20-90
3,22.692288306451612,20-90
3,22.93064345991561,20-90
3,24.425917832167833,20-90
3,25.757705479452056,20-90
3,21.04127358490566,20-90
1,55.69716850828729,10-15
1,30.66858552631579,10-15
1,21.685751748251747,10-15
1,21.123031496062993,10-15
1,25.54914772727273,10-15
1,20.264150943396228,10-15
1,22.938904494382022,10-15
1,22.484375,10-15
1,21.75,10-15
1,15.575,10-15
1,23.680743243243242,10-15
1,26.59375,10-15
1,28.826041666666665,10-15
1,23.1577743902439,10-15
1,29.313218390804597,10-15
1,32.03916666666667,10-15
1,24.286525974025974,10-15
1,28.536428571428573,10-15
1,25.41809210526316,10-15
1,28.9423828125,10-15
1,27.69306506849315,10-15
1,24.234756097560975,10-15
1,23.497109826589597,10-15
1,20.681334080717487,10-15
1,27.325922818791945,10-15
1,29.87440286624204,10-15
1,28.569310897435898,10-15
1,25.29951298701299,10-15
1,20.342424242424244,10-15
1,18.47375541125541,10-15
1,19.613560267857142,10-15
1,22.853143063583815,10-15
1,21.66629016064257,10-15
1,16.226765799256505,10-15
1,17.01953125,10-15
1,12.767269736842104,10-15
1,11.104166666666666,10-15
1,13.489247311827956,10-15
1,19.096556886227546,10-15
1,21.107805676855897,10-15
1,19.513121546961326,10-15
1,13.568933823529411,10-15
1,18.4,10-15
1,15.9375,10-15
1,14.56640625,10-15
1,12.739583333333334,10-15
1,15.438172043010752,10-15
1,14.152559055118111,10-15
1,11.0625,10-15
1,8.2375,10-15
2,15.655598958333334,15-20
2,18.564667630057805,15-20
2,15.6937893081761,15-20
2,16.473369565217393,15-20
2,14.0673828125,15-20
2,14.936160714285714,15-20
2,15.220286885245901,15-20
2,16.705223880597014,15-20
2,15.124038461538461,15-20
2,14.68298969072165,15-20
2,12.70949074074074,15-20
2,11.419642857142858,15-20
2,16.270833333333332,15-20
2,20.747826086956522,15-20
2,24.98377403846154,15-20
2,22.19891826923077,15-20
2,23.010044642857142,15-20
1,13.029605263157896,10-15
1,12.721966911764707,10-15
1,12.637913223140496,10-15
1,11.510135135135135,10-15
1,11.16015625,10-15
1,12.013586956521738,10-15
1,12.683753943217665,10-15
1,11.970108695652174,10-15
1,12.880357142857143,10-15
1,13.704782196969697,10-15
1,12.214285714285714,10-15
1,12.90451388888889,10-15
1,13.558637640449438,10-15
1,15.112704918032787,10-15
1,17.079967248908297,10-15
1,17.159192825112108,10-15
2,15.170886075949367,15-20
2,14.140330188679245,15-20
2,14.547727272727272,15-20
2,15.055862831858407,15-20
2,15.582376325088338,15-20
2,15.729565009560229,15-20
2,15.268684210526315,15-20
2,15.641911764705883,15-20
2,17.952761627906977,15-20
2,17.202634529147982,15-20
2,16.67331560283688,15-20
2,18.22190366972477,15-20
2,17.212361878453038,15-20
2,18.515342377260982,15-20
2,19.200365090403338,15-20
2,18.08623417721519,15-20
2,17.28931236673774,15-20
2,18.16160300925926,15-20
2,19.43844696969697,15-20
3,21.865530303030305,20-90
3,23.546270718232044,20-90
3,24.32427536231884,20-90
3,26.389369419642858,20-90
3,19.854724702380953,20-90
3,16.583333333333332,20-90
3,20.009533898305083,20-90
3,20.272606382978722,20-90
3,25.66169028340081,20-90
3,29.889818075117372,20-90
3,25.271498226950353,20-90
3,27.873686974789916,20-90
3,20.99918831168831,20-90
3,18.75506756756757,20-90
3,21.80616554054054,20-90
3,22.742095588235294,20-90
3,20.659007352941178,20-90
2,16.25990099009901,15-20
2,19.025070621468927,15-20
2,18.29417539267016,15-20
2,20.502757352941178,15-20
2,14.3125,15-20
2,16.125,15-20
2,18.136752136752136,15-20
2,18.147959183673468,15-20
2,15.025,15-20
2,13.986607142857142,15-20
2,15.268045774647888,15-20
2,13.789893617021276,15-20
2,12.25,15-20
2,12.875,15-20
2,16.995738636363637,15-20
3,14.725,20-90
3,21.120489690721648,20-90
3,22.242097701149426,20-90
3,21.863856589147286,20-90
3,20.644132653061224,20-90
3,21.665625,20-90
3,28.295693277310924,20-90
3,26.18395390070922,20-90
3,24.138940520446095,20-90
3,21.792292402826856,20-90
3,27.80887144549763,20-90
3,27.264580973952434,20-90
3,29.139376804619825,20-90
3,23.474605751391465,20-90
0,11.989403735632184,0-10
0,12.786096256684491,0-10
0,8.984375,0-10
0,19.216911764705884,0-10
0,19.30922965116279,0-10
0,19.535872781065088,0-10
0,13.139340490797546,0-10
0,9.769429347826087,0-10
0,10.872804054054054,0-10
1,10.123667635658915,10-15
1,10.19921875,10-15
1,12.901442307692308,10-15
1,12.131158280922431,10-15
1,11.809640522875817,10-15
1,13.444484760522496,10-15
1,12.71034595300261,10-15
1,13.604213800904978,10-15
1,19.26394324853229,10-15
1,17.245319812792513,10-15
1,17.676062445793583,10-15
1,19.277050216763005,10-15
1,13.547241927592955,10-15
1,13.68011840527578,10-15
1,11.868129770992367,10-15
1,11.644670050761421,10-15
1,10.4340625,10-15
1,12.58725110619469,10-15
1,13.433310688405797,10-15
1,12.527171564390665,10-15
1,11.641137005649718,10-15
2,13.205318574514038,15-20
2,13.500825991189428,15-20
2,11.68234126984127,15-20
2,11.160790598290598,15-20
2,11.878133704735376,15-20
2,11.85688164893617,15-20
2,13.059765625,15-20
2,15.968686740890687,15-20
2,13.879709928229666,15-20
2,13.62466755319149,15-20
2,13.421431947069943,15-20
2,14.13239247311828,15-20
2,14.917222222222222,15-20
2,14.82310379241517,15-20
2,16.321227741330834,15-20
2,15.345837897042717,15-20
2,16.138877795527158,15-20
3,17.838169642857142,20-90
3,19.51110600490196,20-90
3,17.94304932735426,20-90
3,18.242428003972194,20-90
3,18.612815227934046,20-90
3,20.211751805985553,20-90
3,21.806564245810055,20-90
3,25.97108778625954,20-90
3,27.023080438756857,20-90
3,25.220739700374533,20-90
3,26.766344383057092,20-90
3,27.717624653739612,20-90
3,27.952268835616437,20-90
3,29.38992275280899,20-90
3,24.642736486486488,20-90
3,22.595760233918128,20-90
3,20.098081023454156,20-90
3,18.92455808080808,20-90
3,24.529671717171716,20-90
3,26.256208609271525,20-90
3,26.874463519313306,20-90
3,28.76444575471698,20-90
3,26.348780487804877,20-90
3,20.4785,20-90
3,17.436507936507937,20-90
3,16.920454545454547,20-90
3,23.684734513274336,20-90
3,28.254136029411764,20-90
3,24.013117283950617,20-90
3,24.123684210526317,20-90
3,14.98611111111111,20-90
0,21.8466796875,0-10
0,17.117447746570868,0-10
0,13.284393491124261,0-10
0,13.432171658986174,0-10
0,15.368333333333334,0-10
0,16.02895220588235,0-10
0,23.942708333333332,0-10
0,17.580357142857142,0-10
0,25.01300299657534,0-10
0,17.821216259640103,0-10
0,16.877060439560438,0-10
0,19.52154710920771,0-10
0,14.863878143133462,0-10
0,18.04673135852911,0-10
0,16.861971003134798,0-10
0,18.892002369668248,0-10
0,19.760888501742162,0-10
0,10.618421052631579,0-10
0,14.309112466124661,0-10
0,13.116228070175438,0-10
0,15.515133647798741,0-10
0,21.08881262042389,0-10
0,20.694172597864767,0-10
0,22.877813887127456,0-10
0,25.45814977973568,0-10
0,13.713568239795919,0-10
0,20.35973998887653,0-10
0,20.887965425531913,0-10
0,23.971685369908563,0-10
0,20.427907854984895,0-10
0,18.49157142857143,0-10
0,17.427118824531515,0-10
0,19.032526064291922,0-10
0,12.949288256227758,0-10
0,18.35164590747331,0-10
0,18.936681669394435,0-10
1,21.61023489932886,10-15
1,21.360390461215932,10-15
1,20.792653203342617,10-15
1,20.008055949008497,10-15
1,20.55240658644712,10-15
1,16.74438202247191,10-15
1,21.171322879858657,10-15
1,21.35345059076262,10-15
1,19.024750293772033,10-15
1,22.67939814814815,10-15
1,25.39956550802139,10-15
1,21.54863877822045,10-15
1,21.04087552742616,10-15
1,17.72033607681756,10-15
1,14.426125478927203,10-15
1,15.411607142857143,10-15
1,14.88556338028169,10-15
2,16.23611111111111,15-20
2,16.2703488372093,15-20
2,16.533128004807693,15-20
2,16.724299620132953,15-20
2,16.305150462962963,15-20
2,15.505187747035572,15-20
2,17.147669880624427,15-20
2,19.090754437869823,15-20
3,20.786565721649485,20-90
3,18.18465909090909,20-90
3,19.323144768856448,20-90
3,18.869791666666668,20-90
3,19.53923299101412,20-90
3,22.15466459977452,20-90
3,24.564301310043668,20-90
3,23.93830179602309,20-90
3,23.350943616029824,20-90
3,18.790631537656903,20-90
3,19.15565286624204,20-90
3,19.442267645769398,20-90
3,19.97596153846154,20-90
3,9.592672413793103,20-90
1,12.025,10-15
1,12.714449541284404,10-15
1,12.878067484662576,10-15
1,9.946428571428571,10-15
1,18.984324758842444,10-15
2,16.38767182130584,15-20
2,24.396334134615383,15-20
2,11.539772727272727,15-20
2,12.534420289855072,15-20
2,9.152777777777779,15-20
