SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.35,0.5,0.16666667,False,2359943
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.45,0.375,0.125,False,2359944
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.55,0.625,0.20833333,False,2359945
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.65001,0.3125,0.104166664,False,2359946
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.75,0.3125,0.104166664,False,2359947
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,191.95,0.3125,0.104166664,False,2363519
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.05,0.375,0.125,False,2363520
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.15001,0.4375,0.14583333,False,2363521
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.25,0.4375,0.14583333,False,2363522
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.35,0.4375,0.14583333,False,2363523
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.45,0.375,0.125,False,2363524
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.55,0.4375,0.14583333,False,2363525
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,192.85,0.375,0.125,False,2363528
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.05,0.3125,0.104166664,False,2363530
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.15001,0.3125,0.104166664,False,2363531
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.35,0.375,0.125,False,2363533
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.65001,0.375,0.125,False,2363536
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.75,0.5,0.16666667,False,2363537
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.85,0.5625,0.1875,False,2363538
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,193.95,1.0,0.33333334,False,2363539
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.05,1.4375,0.47916666,False,2363540
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.350002,194.15001,0.6875,0.22916667,False,2363541
