SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,ROW,IS_INTERPOLATED_TIMESTEP,POT99_MM_3H
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,191.95,12.3125,4.1041665,2424719,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.05,14.0,4.6666665,2424720,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.15001,15.375,5.125,2424721,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.25,13.6875,4.5625,2424722,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.35,15.5625,5.1875,2424723,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.45,14.875,4.9583335,2424724,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.55,23.625,7.875,2424725,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.65001,25.5,8.5,2424726,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.75,21.5,7.1666665,2424727,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.85,13.875,4.625,2424728,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,192.95,12.0,4.0,2424729,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,193.05,13.8125,4.6041665,2424730,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,191.85,10.25,3.4166667,2428318,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,191.95,14.75,4.9166665,2428319,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.05,15.6875,5.2291665,2428320,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.15001,17.25,5.75,2428321,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.25,15.375,5.125,2428322,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.35,16.5625,5.5208335,2428323,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.45,18.6875,6.2291665,2428324,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.55,32.5,10.833333,2428325,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.65001,24.3125,8.104167,2428326,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.75,29.75,9.916667,2428327,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.85,22.3125,7.4375,2428328,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,192.95,14.4375,4.8125,2428329,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.55,193.05,14.25,4.75,2428330,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,191.75,11.5,3.8333333,2431917,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,191.85,15.0,5.0,2431918,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,191.95,16.4375,5.4791665,2431919,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.05,19.9375,6.6458335,2431920,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.15001,15.3125,5.1041665,2431921,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.25,16.5,5.5,2431922,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.35,15.0625,5.0208335,2431923,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.45,16.3125,5.4375,2431924,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.55,25.6875,8.5625,2431925,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.65001,21.6875,7.2291665,2431926,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.75,17.8125,5.9375,2431927,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.85,14.75,4.9166665,2431928,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,192.95,11.25,3.75,2431929,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.45,193.05,9.9375,3.3125,2431930,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,191.65001,10.0625,3.3541667,2435516,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,191.75,15.25,5.0833335,2435517,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,191.85,15.1875,5.0625,2435518,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,191.95,15.6875,5.2291665,2435519,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.05,21.3125,7.1041665,2435520,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.15001,15.6875,5.2291665,2435521,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.25,18.125,6.0416665,2435522,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.35,16.0625,5.3541665,2435523,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.45,14.1875,4.7291665,2435524,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.55,20.9375,6.9791665,2435525,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.65001,16.9375,5.6458335,2435526,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.75,16.625,5.5416665,2435527,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.85,15.5,5.1666665,2435528,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.350002,192.95,12.0,4.0,2435529,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,191.65001,9.9375,3.3125,2439116,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,191.75,15.1875,5.0625,2439117,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,191.85,17.875,5.9583335,2439118,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,191.95,15.3125,5.1041665,2439119,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.05,19.25,6.4166665,2439120,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.15001,23.125,7.7083335,2439121,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.25,13.5,4.5,2439122,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.35,12.6875,4.2291665,2439123,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.45,11.25,3.75,2439124,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.55,14.625,4.875,2439125,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.65001,11.0,3.6666667,2439126,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.75,11.4375,3.8125,2439127,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.249996,192.85,11.5,3.8333333,2439128,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,191.65001,9.75,3.25,2442716,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,191.75,11.375,3.7916667,2442717,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.149998,191.85,14.3125,4.7708335,2442718,False,9.038099
