year,domain,surface,band_idx,band_label,n_j,vol_j
1995,SH,land,3,20-90,20258,413780.94
1995,SH,ocean,0,0-10,41095,699598.2
1995,SH,ocean,1,10-15,302932,5183915.5
1995,SH,ocean,2,15-20,261325,4724682.0
1995,SH,ocean,3,20-90,172669,3639839.2
1996,NH,land,0,0-15,39677,911441.0
1996,NH,land,1,15-25,87802,2308272.0
1996,NH,land,2,25-35,32850,821798.0
1996,NH,land,3,35-90,29509,533395.0
1996,NH,ocean,0,0-15,712230,11886106.0
1996,NH,ocean,1,15-25,826667,16201534.0
1996,NH,ocean,2,25-35,315908,7485561.0
1996,NH,ocean,3,35-90,232929,3626506.2
1996,SH,land,0,0-10,3499,64648.062
1996,SH,land,1,10-15,17143,394554.06
1996,SH,land,2,15-20,27316,631310.3
1996,SH,land,3,20-90,20555,473199.38
1996,SH,ocean,0,0-10,225021,4058911.8
1996,SH,ocean,1,10-15,446166,8333317.0
1996,SH,ocean,2,15-20,251655,4896618.0
1996,SH,ocean,3,20-90,143447,2818253.5
1997,NH,land,0,0-15,16700,422395.3
1997,NH,land,1,15-25,54952,1443109.2
1997,NH,land,2,25-35,36067,899998.6
1997,NH,land,3,35-90,23617,511062.94
1997,NH,ocean,0,0-15,1040678,17619598.0
1997,NH,ocean,1,15-25,790673,14529099.0
1997,NH,ocean,2,25-35,288462,6896684.0
1997,NH,ocean,3,35-90,176200,2976659.2
1997,SH,land,0,0-10,1873,69638.31
1997,SH,land,1,10-15,14249,341876.25
1997,SH,land,2,15-20,20270,553116.7
1997,SH,land,3,20-90,11140,248126.31
1997,SH,ocean,0,0-10,182973,3079660.2
1997,SH,ocean,1,10-15,574953,10913285.0
1997,SH,ocean,2,15-20,429454,9052602.0
1997,SH,ocean,3,20-90,296384,6180073.0
1998,NH,land,0,0-15,35351,891933.6
1998,NH,land,1,15-25,46900,1338203.2
1998,NH,land,2,25-35,26357,837684.0
1998,NH,land,3,35-90,10858,247870.94
1998,NH,ocean,0,0-15,414485,7377522.0
1998,NH,ocean,1,15-25,462661,8885386.0
1998,NH,ocean,2,25-35,203569,4897913.5
1998,NH,ocean,3,35-90,178988,2811974.5
1998,SH,land,0,0-10,1341,23912.125
1998,SH,land,1,10-15,10895,260946.19
1998,SH,land,2,15-20,25510,619324.3
1998,SH,land,3,20-90,13665,307626.7
1998,SH,ocean,0,0-10,51369,866976.06
1998,SH,ocean,1,10-15,457166,8153943.5
1998,SH,ocean,2,15-20,336509,7017200.5
1998,SH,ocean,3,20-90,395387,7739484.5
1999,NH,land,0,0-15,15482,331087.38
1999,NH,land,1,15-25,50169,1304025.0
1999,NH,land,2,25-35,21506,630643.7
1999,NH,land,3,35-90,27949,573648.25
1999,NH,ocean,0,0-15,348049,6097594.0
1999,NH,ocean,1,15-25,690422,13583616.0
1999,NH,ocean,2,25-35,245212,5558767.0
1999,NH,ocean,3,35-90,94400,1828102.8
1999,SH,land,0,0-10,14,218.25
1999,SH,land,1,10-15,6927,144970.06
1999,SH,land,2,15-20,9860,261682.94
1999,SH,land,3,20-90,19831,434662.62
1999,SH,ocean,0,0-10,14167,250473.5
1999,SH,ocean,1,10-15,239272,4567853.0
1999,SH,ocean,2,15-20,225521,4784920.5
1999,SH,ocean,3,20-90,250369,5382637.0
2000,NH,land,0,0-15,21295,508328.12
2000,NH,land,1,15-25,39293,1057836.9
2000,NH,land,2,25-35,10821,254668.38
2000,NH,land,3,35-90,18740,363290.94
2000,NH,ocean,0,0-15,337833,6583113.0
2000,NH,ocean,1,15-25,447695,9268257.0
2000,NH,ocean,2,25-35,169285,3841013.5
2000,NH,ocean,3,35-90,133215,2156625.5
2000,SH,land,0,0-10,4,56.75
2000,SH,land,1,10-15,9479,213257.0
2000,SH,land,2,15-20,25482,578532.9
2000,SH,land,3,20-90,35546,747898.7
2000,SH,ocean,0,0-10,27357,506451.88
2000,SH,ocean,1,10-15,227869,4076902.5
2000,SH,ocean,2,15-20,266921,5221570.5
2000,SH,ocean,3,20-90,238915,4654113.0
2001,NH,land,0,0-15,17457,411815.38
2001,NH,land,1,15-25,36544,964626.1
2001,NH,land,2,25-35,16829,486343.25
2001,NH,land,3,35-90,12401,248734.75
2001,NH,ocean,0,0-15,426638,7593691.0
2001,NH,ocean,1,15-25,573569,12254726.0
2001,NH,ocean,2,25-35,218944,4839276.5
2001,NH,ocean,3,35-90,195521,3526344.8
2001,SH,land,0,0-10,3713,60748.125
2001,SH,land,1,10-15,8621,202344.38
2001,SH,land,2,15-20,28444,668394.2
2001,SH,land,3,20-90,12047,250176.5
2001,SH,ocean,0,0-10,74662,1301257.0
2001,SH,ocean,1,10-15,229448,4300470.0
2001,SH,ocean,2,15-20,188387,3945009.0
2001,SH,ocean,3,20-90,197282,4247962.0
2002,NH,land,0,0-15,7007,173077.56
2002,NH,land,1,15-25,27356,638585.2
2002,NH,land,2,25-35,23755,688253.9
2002,NH,land,3,35-90,27064,422239.62
2002,NH,ocean,0,0-15,689298,13170795.0
2002,NH,ocean,1,15-25,539397,10238003.0
2002,NH,ocean,2,25-35,190549,4452316.5
2002,NH,ocean,3,35-90,171035,2510606.0
2002,SH,land,0,0-10,1154,17935.75
2002,SH,land,1,10-15,9149,205998.44
2002,SH,land,2,15-20,14527,337106.25
2002,SH,land,3,20-90,5774,129310.25
2002,SH,ocean,0,0-10,138801,2619564.8
2002,SH,ocean,1,10-15,268980,5076068.0
2002,SH,ocean,2,15-20,198219,4168032.0
2002,SH,ocean,3,20-90,218343,4610083.0
2003,NH,land,0,0-15,9661,231620.62
2003,NH,land,1,15-25,50104,1361567.9
2003,NH,land,2,25-35,13488,399828.75
2003,NH,land,3,35-90,16640,311711.2
2003,NH,ocean,0,0-15,585591,10793307.0
2003,NH,ocean,1,15-25,525665,11505194.0
2003,NH,ocean,2,25-35,210408,4630049.5
2003,NH,ocean,3,35-90,131911,1922306.0
2003,SH,land,0,0-10,3040,48814.75
2003,SH,land,1,10-15,18867,429297.62
2003,SH,land,2,15-20,26528,589308.25
2003,SH,land,3,20-90,12651,283266.7
2003,SH,ocean,0,0-10,91897,1678908.0
2003,SH,ocean,1,10-15,379520,7198970.5
2003,SH,ocean,2,15-20,227710,4825129.0
2003,SH,ocean,3,20-90,230385,5182456.0
2004,NH,land,0,0-15,11352,288310.12
2004,NH,land,1,15-25,40977,1052183.6
2004,NH,land,2,25-35,46233,1411143.0
2004,NH,land,3,35-90,67850,1209173.1
2004,NH,ocean,0,0-15,607224,10719492.0
2004,NH,ocean,1,15-25,639628,13896657.0
2004,NH,ocean,2,25-35,251546,5933469.0
2004,NH,ocean,3,35-90,184561,2989674.0
2004,SH,land,0,0-10,183,2882.0625
2004,SH,land,1,10-15,6232,147776.5
2004,SH,land,2,15-20,22361,552520.3
2004,SH,land,3,20-90,15404,384364.12
2004,SH,ocean,0,0-10,140027,2917674.2
2004,SH,ocean,1,10-15,208278,3954072.0
2004,SH,ocean,2,15-20,219809,4241223.0
2004,SH,ocean,3,20-90,143955,3236607.0
2005,NH,land,0,0-15,16781,371956.7
2005,NH,land,1,15-25,75816,2043169.8
2005,NH,land,2,25-35,43739,1246002.0
2005,NH,land,3,35-90,28443,531966.3
2005,NH,ocean,0,0-15,431960,8111844.0
2005,NH,ocean,1,15-25,542320,11231924.0
2005,NH,ocean,2,25-35,240923,5289224.0
2005,NH,ocean,3,35-90,182929,2756886.2
