domain,surface,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
NH,ocean,1989,1703248.0,18.60271035104694,19.04987244682829,18.82781586819346,19.68975837550499,0.0809092571730728,0.22101797270992485
NH,ocean,1990,1939016.0,18.89607661824348,19.0579633725456,18.847884457387657,19.673143876163046,0.0809092571730728,0.22101797270992485
NH,ocean,1991,1660194.0,19.036498144192787,19.066054298262905,18.86786178949051,19.663950712521668,0.0809092571730728,0.22101797270992485
NH,ocean,1992,2307644.0,19.23258461877135,19.07414522398021,18.88791453292437,19.645541761084214,0.0809092571730728,0.22101797270992485
NH,ocean,1993,1608951.0,18.974059806669064,19.082236149697522,18.902434150966503,19.63715590832178,0.0809092571730728,0.22101797270992485
NH,ocean,1994,2071025.0,18.701913883222076,19.090327075414827,18.91955756740268,19.636771875264706,0.0809092571730728,0.22101797270992485
NH,ocean,1995,1656575.0,18.470220605767924,19.09841800113213,18.9366807549755,19.631129149529986,0.0809092571730728,0.22101797270992485
NH,ocean,1996,2087734.0,18.77619811719309,19.106508926849443,18.950141043973428,19.62724113461608,0.0809092571730728,0.22101797270992485
NH,ocean,1997,2296013.0,18.302178689754808,19.114599852566748,18.96099752583968,19.628789433386785,0.0809092571730728,0.22101797270992485
NH,ocean,1998,1259703.0,19.030514335521943,19.122690778284053,18.968108151438475,19.634086433114366,0.0809092571730728,0.22101797270992485
NH,ocean,1999,1378083.0,19.641835651408513,19.130781704001365,18.976060023763473,19.65786943420058,0.0809092571730728,0.22101797270992485
NH,ocean,2000,1088028.0,20.081292944666863,19.13887262971867,18.986013970742412,19.656709603441985,0.0809092571730728,0.22101797270992485
NH,ocean,2001,1414672.0,19.943872713957724,19.146963555435974,18.997226827147866,19.666150674350888,0.0809092571730728,0.22101797270992485
NH,ocean,2002,1590279.0,19.098359784666712,19.155054481153286,19.00302843814281,19.66943489329283,0.0809092571730728,0.22101797270992485
NH,ocean,2003,1453575.0,19.848206318903394,19.16314540687059,19.00653871579478,19.67419935427774,0.0809092571730728,0.22101797270992485
NH,ocean,2004,1682959.0,19.92876356465012,19.171236332587902,19.009334384002205,19.690101952951178,0.0809092571730728,0.22101797270992485
NH,ocean,2005,1398132.0,19.59033782217988,19.179327258305207,19.009406830796458,19.70797855375479,0.0809092571730728,0.22101797270992485
NH,ocean,2006,1300510.0,20.079496505217183,19.187418184022512,19.008519860134466,19.72325941856817,0.0809092571730728,0.22101797270992485
NH,ocean,2007,1081121.0,20.3978799782818,19.195509109739824,19.005253318036512,19.741430516681334,0.0809092571730728,0.22101797270992485
NH,ocean,2008,1027668.0,20.6699595589237,19.20360003545713,19.00343866358062,19.756430116637265,0.0809092571730728,0.22101797270992485
NH,ocean,2009,1285512.0,21.115640694135873,19.211690961174433,19.00576968176923,19.770367139029645,0.0809092571730728,0.22101797270992485
NH,ocean,2010,1016295.0,19.124623559104393,19.219781886891745,19.004901262983005,19.792605805150835,0.0809092571730728,0.22101797270992485
NH,ocean,2011,1273965.0,19.98537047721091,19.22787281260905,19.003837039613003,19.802195857364506,0.0809092571730728,0.22101797270992485
NH,ocean,2012,1407555.0,19.415651608640516,19.235963738326355,19.000651900280882,19.820813719167237,0.0809092571730728,0.22101797270992485
NH,ocean,2013,1307063.0,19.64844272999848,19.244054664043666,18.9934295448284,19.834973070844715,0.0809092571730728,0.22101797270992485
NH,ocean,2014,1369118.0,19.98364896232465,19.25214558976097,18.986207375058346,19.8507919484216,0.0809092571730728,0.22101797270992485
NH,ocean,2015,2027778.0,19.359697905786533,19.260236515478276,18.986945503976344,19.884413159048098,0.0809092571730728,0.22101797270992485
NH,ocean,2016,1249019.0,19.016029940297145,19.268327441195588,18.976800678686608,19.905577995110004,0.0809092571730728,0.22101797270992485
NH,ocean,2017,1135800.0,19.218369431237896,19.276418366912893,18.969567623373567,19.923534331956574,0.0809092571730728,0.22101797270992485
NH,ocean,2018,1564612.0,19.158954424483515,19.284509292630204,18.96237124899696,19.941490668803144,0.0809092571730728,0.22101797270992485
NH,ocean,2019,1451821.0,19.06271193211835,19.29260021834751,18.955528437110182,19.973898198918942,0.0809092571730728,0.22101797270992485
NH,ocean,2020,1042932.0,18.593524793562764,19.300691144064814,18.949951626634604,19.993244876577368,0.0809092571730728,0.22101797270992485
NH,ocean,2021,1284348.0,19.681314176531593,19.308782069782126,18.943641960409565,20.017008415430606,0.0809092571730728,0.22101797270992485
NH,ocean,2022,1150823.0,18.458880296970083,19.31687299549943,18.936892061694202,20.031369028499565,0.0809092571730728,0.22101797270992485
NH,ocean,2023,1501057.0,18.557383097377382,19.324963921216735,18.926997971138245,20.058109391048717,0.0809092571730728,0.22101797270992485
SH,land,1980,48781.0,22.540493122322218,23.21643129725407,22.216652474092665,24.067636720136296,0.13659153947225733,0.46030716787530535
