domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high
NA,NH,2,25-35,-0.32200237993870434,-0.637899551682049,0.49231911592541805,0.015770917268061298,-0.04186283593297187,0.32695135380839135,0.07790541813109902,-0.1079413882172661,0.14770817005430756,-0.22832604453954403,-0.47952960912100495,0.6212542410313684
NA,NH,3,35-90,0.13274126536725128,-0.13939764657340326,0.4357883705948549,-0.023534868817755947,-0.0898489818545632,0.04763515581611919,0.0052281689552884925,-0.07853502181594757,0.06258955838255818,0.11443456550478383,-0.18197672270781898,0.43770259965537384
NI,NH,0,0-15,-0.03253378946787879,-0.45330401805228027,0.7295537849646525,0.16531058267590276,0.02208788276402202,0.33989128823105874,-0.05423256490426115,-0.20953965199012808,0.09810937370771279,0.07854422830376281,-0.32864756090010816,0.9244687005275816
NI,NH,1,15-25,0.17247108690448168,-0.9169490737858345,0.6389580989128323,0.3106826837946271,0.22205572306585764,0.6426890095575696,0.11910020829702367,-0.20883111664860798,0.1913047684092571,0.6022539789961324,-0.6211218411516551,1.1211268224963264
NI,NH,2,25-35,0.0,-0.07757390085347715,0.04335686787502095,-0.01669227748388396,-0.022834854832033676,0.024456700351200157,0.01669227748388396,-0.022218561897916208,0.02278800211702171,0.0,-0.07259918617439813,0.035636467522604756
NI,NH,3,35-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,SH,0,0-10,-0.07689859438755581,-0.26121983082341105,0.16176767255129443,0.034615521250615046,-0.014278173212976156,0.12595892456688215,0.0018339359112075418,-0.04925522385746926,0.03221041878268176,-0.04044913722573322,-0.23310855706281386,0.22502693620597305
SI,SH,1,10-15,-0.1980338413625497,-0.4648630418231066,-0.11539751831795825,0.18573341132447085,0.08927763591754717,0.3594468201275929,0.025666433618209528,-0.06488480255903982,0.05691385932098974,0.013366003580130681,-0.2887928560540256,0.1577103351469408
SI,SH,2,15-20,0.12190985064817925,-0.1131849619466,0.382674885767393,0.15695331837522739,-0.008066599091895077,0.2501259280329741,-0.031274084948400505,-0.06813829001012352,0.04922059713169858,0.24758908407500613,-0.016031426977350563,0.5196219657807539
SI,SH,3,20-90,0.2820484839803616,-0.040238505521650085,0.49981059700876734,0.010176494906061056,-0.048489828887377344,0.06535305369458384,-0.021847890976523635,-0.03676710818686452,0.041143134313082697,0.270377087909899,-0.03277186634126862,0.5121812381815187
SP,SH,0,0-10,0.0,-0.12908602621091744,0.197821054044101,-0.011020760012002587,-0.05426672059901725,0.0044185136963721654,0.0008121495825163614,-0.023711038104212177,0.04534685837093846,-0.010208610429486226,-0.1378562293465361,0.19339009506428761
SP,SH,1,10-15,-0.34017849668516986,-0.738563536600848,0.09713035708881668,0.08902899148924852,0.017162953584030104,0.3046307897292236,-0.07879230927037166,-0.12052784432756515,0.08221646185778807,-0.329941814466293,-0.601115989403783,0.27865382496180935
SP,SH,2,15-20,0.17683235246343007,-0.32865330978644436,0.540937754514967,0.05991130709032222,-0.07486564842750082,0.20052626594487244,0.03709191803845005,-0.06259685892120995,0.09419566458572791,0.27383557759220234,-0.22847412148843144,0.6044212461021354
SP,SH,3,20-90,0.17237406448145678,-0.2322574047355454,0.5966830124587531,-0.06970669367827691,-0.1624611617941809,0.06431926924883728,-0.020678082497238195,-0.07855896702147849,0.11519349560105632,0.08198928830594168,-0.3041926953998545,0.5701035033363131
